0.125,0.04144,0.37749
0.375,0.08296,0.24396
0.625,0.09333,0.13365
0.875,0.09392,0.07192
1.125,0.09634,0.04501
1.375,0.08104,0.02972
1.625,0.08774,0.02053
1.875,0.07061,0.01501
2.125,0.05776,0.01132
2.375,0.05285,0.00763
2.625,0.04244,0.00517
2.875,0.03203,0.0027
3.125,0.03079,0.00268
3.375,0.02282,0.00144
3.625,0.01791,0.00142
3.875,0.00995,0
4.125,0.01115,0
4.375,0.00868,0
4.625,0.00499,0
4.875,0.00375,0
5.125,0.00251,0
5.375,0.00371,0
5.625,0.00246,0
5.875,0.00122,0
6.125,0,0
6.375,0,0
6.625,0,0
6.875,0,0
7.125,0,0
7.375,0,0
7.625,0,0
7.875,0,0
8.125,0,0
8.375,0,0
